gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,1792,5120,torch.float8_e4m3fn,flydsl,2881,0,9.4262,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x4x0_default,1.95,974.28,0.0
gfx950,256,2,1792,5120,torch.float8_e4m3fn,flydsl,1674,0,9.5494,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x2x0_default,3.84,962.62,0.0
gfx950,256,4,1792,5120,torch.float8_e4m3fn,flydsl,2881,0,9.5983,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x4x0_default,7.65,959.53,0.0
gfx950,256,8,1792,5120,torch.float8_e4m3fn,flydsl,2301,0,9.7403,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x3x0_default,15.07,949.12,0.0
gfx950,256,16,1792,5120,torch.float8_e4m3fn,ck,10,0,9.2263,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,31.82,1009.54,0.0
gfx950,256,32,1792,5120,torch.float8_e4m3fn,ck,10,0,8.695,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,67.53,1087.24,0.0
gfx950,256,64,1792,5120,torch.float8_e4m3fn,ck,10,0,9.0799,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,129.34,1071.83,0.0
gfx950,256,128,1792,5120,torch.float8_e4m3fn,ck,11,0,8.7798,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,267.52,1171.91,0.0
gfx950,256,256,1792,5120,torch.float8_e4m3fn,flydsl,2234,0,10.6523,flydsl_bpreshuflle_32x64x512_F8_F8_B16_2x0x1x3x4_default,441.0,1070.5,0.0
gfx950,256,512,1792,5120,torch.float8_e4m3fn,flydsl,2386,0,13.8016,flydsl_bpreshuflle_32x64x512_F8_F8_B16_2x1x0x3x4_default,680.74,987.67,0.0
